synth_idx,src_a,src_b,lambda,soil,pipe,S_pct,T_pct,M_pct,B_pct
62,76,106,0.418,Clay,"4""",16.06,22.96,23.8,28.84
63,59,17,0.451,Sand,"4""",8.98,18.05,22.65,22.89
64,65,10,0.415,Clay,"4""",11.78,16.85,20.16,19.07
65,5,53,0.612,Sand,"2""",5.85,13.11,15.78,17.22
66,73,2,0.525,Clay,"4""",12.33,20.92,19.05,27.93
67,48,69,0.619,Sand,"4""",6.09,15.98,16.19,17.72
68,15,16,0.448,Sand,"2""",11.01,27.19,25.96,20.26
69,59,4,0.432,Sand,"4""",5.23,12.65,15.59,17.98
70,65,97,0.43,Clay,"4""",13.43,19.57,21.36,24.02
71,12,13,0.398,Sand,"2""",6.4,13.58,17.24,16.56
72,54,52,0.582,Sand,"4""",8.74,18.73,19.54,22.94
73,36,103,0.654,Sand,"4""",10.12,18.85,19.67,20.8
74,81,104,0.372,Clay,"4""",21.5,24.52,24.72,27.67
75,54,65,0.315,Sand,"4""",14.83,18.17,18.43,19.54
76,3,92,0.323,Sand,"2""",7.0,13.7,18.73,17.67
77,32,100,0.317,Sand,"4""",5.08,16.84,18.55,21.82
78,60,72,0.496,Sand,"4""",12.96,25.21,21.53,32.18
79,45,22,0.607,Sand,"4""",6.39,15.87,18.66,20.68
80,28,32,0.437,Sand,"2""",5.02,14.67,16.43,16.58
81,44,86,0.462,Sand,"4""",13.43,19.73,21.61,26.11
82,35,103,0.657,Sand,"4""",9.67,18.27,19.36,20.63
83,10,15,0.667,Sand,"2""",6.4,14.07,19.03,18.07
84,75,94,0.334,Clay,"4""",7.0,15.2,18.57,19.07
85,63,67,0.401,Clay,"4""",8.3,18.62,18.7,18.78
86,57,30,0.694,Sand,"4""",6.5,17.16,20.2,23.06
87,7,86,0.618,Sand,"2""",17.7,32.12,25.91,22.93
88,72,5,0.663,Clay,"4""",14.52,24.83,20.66,32.28
89,62,18,0.621,Sand,"4""",8.38,21.67,22.41,25.69
90,87,76,0.467,Clay,"4""",12.98,20.17,21.07,26.49
91,8,9,0.51,Sand,"2""",10.68,18.62,25.46,20.31
92,35,85,0.581,Sand,"4""",11.04,16.08,17.41,21.17
93,58,69,0.581,Sand,"4""",7.92,18.76,19.97,22.46
94,14,64,0.524,Sand,"2""",8.86,14.24,15.3,16.73
95,91,51,0.303,Sand,"2""",11.67,19.34,23.31,25.28
96,26,38,0.688,Sand,"2""",5.91,16.93,19.06,18.44
97,31,58,0.438,Sand,"4""",5.75,16.26,17.62,20.46
98,42,107,0.321,Sand,"4""",15.02,23.63,25.24,29.84
99,8,74,0.555,Sand,"2""",9.78,19.5,22.81,21.47
100,18,84,0.521,Sand,"2""",14.99,19.24,22.17,24.68
101,34,91,0.543,Sand,"4""",7.0,14.84,17.86,18.61
102,22,85,0.615,Sand,"2""",12.76,16.62,20.18,21.55
103,45,68,0.341,Sand,"4""",7.58,18.92,19.23,21.02
104,69,93,0.664,Clay,"4""",7.66,17.36,19.13,19.33
105,66,89,0.597,Clay,"4""",9.36,18.5,22.72,20.45
106,93,37,0.397,Sand,"2""",4.91,13.73,16.3,16.82
107,16,105,0.531,Sand,"2""",18.97,34.37,31.65,27.06
108,69,19,0.665,Clay,"4""",8.57,17.9,20.24,20.23
109,0,106,0.471,Sand,"2""",13.02,17.93,19.96,22.93
110,0,1,0.579,Sand,"2""",3.33,8.85,12.63,13.33
111,91,42,0.594,Sand,"2""",6.68,17.7,22.19,24.01
112,40,78,0.631,Sand,"4""",16.34,20.22,24.33,28.52
113,49,26,0.494,Sand,"4""",10.21,21.86,26.29,25.03
114,94,23,0.551,Sand,"2""",6.0,13.24,17.54,16.79
115,61,93,0.52,Sand,"4""",4.49,15.58,17.43,18.33
116,74,98,0.483,Clay,"4""",7.0,19.71,20.41,24.47
117,86,35,0.381,Clay,"4""",9.71,15.61,17.37,20.63
118,71,30,0.476,Clay,"4""",10.96,22.45,21.28,28.78
119,82,87,0.463,Clay,"4""",19.16,19.23,20.6,25.89
120,13,76,0.385,Sand,"2""",7.54,16.81,18.86,21.46
121,93,21,0.313,Sand,"2""",7.86,14.84,20.09,18.49
122,44,18,0.501,Sand,"4""",7.5,17.3,21.0,22.9
123,34,18,0.536,Sand,"4""",7.93,15.09,18.42,19.33
124,17,9,0.669,Sand,"2""",9.9,17.9,24.87,21.47
125,20,46,0.525,Sand,"2""",8.94,16.21,20.04,20.7
126,16,99,0.455,Sand,"2""",11.19,29.03,27.77,24.96
127,1,42,0.301,Sand,"2""",5.27,16.47,20.07,24.55
128,30,23,0.335,Sand,"2""",5.03,11.6,15.94,16.0
129,42,8,0.4,Sand,"4""",9.68,19.66,24.94,24.2
130,102,83,0.473,Clay,"4""",13.96,19.53,20.05,24.67
131,65,103,0.368,Clay,"4""",20.25,25.72,25.98,25.36
132,82,17,0.646,Clay,"4""",16.79,17.09,20.76,22.88
133,61,35,0.31,Sand,"4""",3.38,13.43,14.28,17.0
134,86,34,0.536,Clay,"4""",13.86,17.77,19.46,22.94
135,94,12,0.578,Sand,"2""",6.42,14.29,18.4,17.64
136,97,23,0.424,Sand,"4""",7.65,15.48,18.94,21.02
137,89,26,0.526,Sand,"2""",8.53,18.8,24.77,20.81
138,74,44,0.607,Clay,"4""",6.61,18.87,18.98,22.93
139,53,7,0.614,Sand,"4""",11.61,26.53,22.67,21.83
140,18,88,0.372,Sand,"2""",13.84,19.97,23.23,24.35
141,13,60,0.591,Sand,"2""",6.0,15.1,17.77,18.5
142,101,75,0.665,Sand,"4""",7.01,17.6,18.56,23.06
143,54,85,0.337,Sand,"4""",16.84,20.42,21.28,25.97
144,87,2,0.438,Clay,"4""",11.02,14.59,17.62,19.55
145,99,72,0.652,Sand,"4""",11.46,23.87,22.45,31.25
146,8,18,0.39,Sand,"2""",10.17,17.79,23.97,21.47
147,95,43,0.376,Sand,"4""",5.91,17.1,18.93,22.75
148,30,102,0.665,Sand,"2""",4.41,15.22,18.51,19.72
149,72,84,0.579,Clay,"4""",20.52,28.14,23.26,35.86
150,49,107,0.449,Sand,"4""",16.64,25.22,28.49,30.37
151,71,45,0.677,Clay,"4""",15.14,29.04,23.78,36.06
152,52,65,0.635,Sand,"4""",13.09,19.09,20.05,22.53
153,89,0,0.526,Sand,"2""",6.87,14.2,20.55,17.83
154,101,42,0.626,Sand,"4""",6.07,18.77,20.7,25.73
155,74,44,0.537,Clay,"4""",6.54,18.76,19.02,23.04
156,44,95,0.53,Sand,"4""",5.11,16.12,17.33,20.28
157,67,12,0.418,Clay,"4""",7.63,16.13,18.14,18.37
158,17,22,0.543,Sand,"2""",8.87,15.94,22.02,20.06
159,43,15,0.307,Sand,"4""",5.34,13.01,16.45,18.87
160,80,45,0.595,Clay,"4""",15.98,17.04,19.12,23.22
161,43,15,0.622,Sand,"4""",6.09,15.69,18.65,22.43
162,107,58,0.373,Clay,"4""",11.87,21.26,22.69,26.34
163,52,32,0.421,Sand,"4""",6.09,15.43,16.66,19.36
164,95,55,0.388,Sand,"4""",9.54,19.67,22.4,20.67
165,95,35,0.312,Sand,"4""",3.69,12.72,14.04,16.13
166,25,100,0.436,Sand,"2""",7.0,19.95,22.6,24.67
167,69,62,0.471,Clay,"4""",8.24,21.87,20.79,24.32
168,102,41,0.617,Clay,"4""",8.26,22.07,23.32,27.98
169,89,100,0.621,Sand,"2""",8.42,18.84,25.19,23.06
170,52,39,0.53,Sand,"4""",12.36,23.22,25.37,25.69
171,54,63,0.393,Sand,"4""",7.88,17.98,18.07,19.41
172,85,84,0.599,Clay,"4""",21.5,21.76,22.3,28.0
173,57,91,0.329,Sand,"4""",7.33,17.35,21.57,22.24
174,58,91,0.606,Sand,"4""",7.3,17.77,20.95,22.64
175,75,105,0.423,Clay,"4""",16.56,22.66,23.13,26.79
176,106,15,0.694,Clay,"4""",16.32,21.08,22.83,26.64
177,75,56,0.412,Clay,"4""",9.35,19.66,21.3,25.76
178,54,86,0.422,Sand,"4""",14.7,19.95,21.39,25.3
179,23,11,0.65,Sand,"2""",6.25,12.79,16.2,16.61
180,31,78,0.405,Sand,"4""",14.62,15.38,16.54,20.14
181,100,5,0.659,Sand,"4""",5.35,15.69,18.31,20.94
182,90,85,0.308,Sand,"2""",17.64,20.3,23.07,26.26
183,24,91,0.691,Sand,"2""",7.9,22.42,29.86,23.92
184,38,79,0.637,Sand,"4""",10.11,14.25,17.5,18.68
185,71,68,0.464,Clay,"4""",13.65,26.61,22.61,30.44
186,68,37,0.631,Clay,"4""",6.91,17.26,17.62,18.7
187,39,53,0.661,Sand,"4""",12.7,24.42,26.71,25.48
188,76,75,0.645,Clay,"4""",8.68,18.15,18.98,23.93
189,30,78,0.378,Sand,"2""",14.97,14.88,17.79,20.56
190,96,11,0.313,Sand,"4""",7.86,16.8,19.81,21.57
191,107,0,0.479,Clay,"4""",11.01,16.9,19.06,21.29
192,29,96,0.692,Sand,"2""",8.05,16.5,21.03,21.73
193,73,92,0.489,Clay,"4""",12.63,23.43,22.17,30.52
194,59,43,0.466,Sand,"4""",7.23,18.53,20.65,25.25
195,30,77,0.451,Sand,"2""",9.63,15.02,17.57,20.35
196,68,30,0.543,Clay,"4""",6.03,15.91,18.27,18.41
197,78,58,0.651,Clay,"4""",17.06,17.63,19.17,23.45
198,54,48,0.636,Sand,"4""",6.57,16.72,17.01,19.64
199,81,73,0.306,Clay,"4""",19.42,27.01,22.11,36.19
200,102,64,0.456,Clay,"4""",11.46,19.97,20.05,22.55
201,39,64,0.316,Sand,"4""",15.07,20.67,22.23,21.71
202,39,81,0.44,Sand,"4""",18.55,21.42,23.69,25.13
203,100,48,0.35,Sand,"4""",5.09,15.91,16.67,19.21
204,85,7,0.353,Clay,"4""",18.2,32.73,25.74,22.76
205,104,53,0.581,Clay,"4""",16.09,24.78,24.75,27.05
206,82,16,0.418,Clay,"4""",17.96,30.68,28.33,23.78
207,28,0,0.42,Sand,"2""",5.18,12.67,15.74,15.26
208,61,17,0.543,Sand,"4""",6.35,17.13,19.96,20.51
209,78,70,0.483,Clay,"4""",23.6,30.02,22.9,33.13
210,39,77,0.387,Sand,"4""",14.92,21.6,22.88,24.8
211,21,106,0.358,Sand,"2""",16.91,21.89,24.41,27.05
212,79,28,0.321,Clay,"4""",12.06,17.34,21.36,19.74
213,23,47,0.685,Sand,"2""",5.21,11.92,14.84,15.45
214,104,27,0.498,Clay,"4""",14.47,22.27,24.38,23.97
215,83,13,0.502,Clay,"4""",13.13,14.96,17.8,19.51
