synth_idx,src_a,src_b,lambda,soil,pipe,S_pct,T_pct,M_pct,B_pct
114,95,88,0.383,Sand,"4""",8.11,17.89,22.3,23.35
115,66,79,0.614,Clay,"4""",23.59,32.4,23.78,35.32
116,72,104,0.43,Clay,"4""",16.12,23.72,23.62,26.5
117,57,31,0.311,Sand,"4""",4.31,14.54,15.86,17.67
118,84,71,0.514,Clay,"4""",11.99,20.73,21.22,24.1
119,15,45,0.347,Sand,"2""",4.37,12.71,14.72,15.08
120,39,17,0.492,Sand,"4""",7.92,16.57,19.98,22.87
121,41,83,0.634,Sand,"4""",11.68,19.78,22.1,27.18
122,40,92,0.413,Sand,"4""",6.08,16.73,20.85,22.43
123,97,92,0.652,Sand,"4""",6.65,17.56,20.63,22.81
124,55,22,0.394,Sand,"4""",8.61,16.61,20.55,21.39
125,10,23,0.572,Sand,"2""",7.89,15.13,20.82,18.09
126,50,78,0.505,Sand,"4""",15.74,17.96,19.36,24.64
127,87,107,0.495,Sand,"2""",14.15,21.44,25.06,26.04
128,50,17,0.415,Sand,"4""",5.67,14.48,15.64,18.16
129,73,15,0.545,Clay,"4""",7.36,16.41,18.67,20.82
130,37,85,0.368,Sand,"4""",8.03,11.51,14.77,15.04
131,12,85,0.468,Sand,"2""",5.32,12.62,16.22,16.08
132,102,91,0.506,Clay,"4""",13.84,22.49,24.87,23.52
133,86,47,0.497,Sand,"2""",6.68,15.18,20.35,18.68
134,4,27,0.315,Sand,"2""",6.24,14.73,17.71,16.71
135,54,53,0.582,Sand,"4""",11.02,22.39,25.35,26.35
136,15,33,0.514,Sand,"2""",4.78,12.72,15.45,15.95
137,44,68,0.33,Sand,"4""",15.04,28.92,23.72,35.93
138,2,66,0.651,Sand,"2""",12.27,20.71,18.5,23.16
139,67,44,0.65,Clay,"4""",16.0,31.31,23.83,35.54
140,33,81,0.362,Sand,"4""",14.98,18.16,19.4,23.81
141,32,107,0.384,Sand,"4""",13.95,20.53,21.29,24.92
142,73,97,0.531,Clay,"4""",7.8,19.09,20.6,25.28
143,8,37,0.566,Sand,"2""",15.71,27.56,21.67,18.28
144,77,73,0.648,Clay,"4""",17.83,17.57,19.58,24.03
145,25,10,0.567,Sand,"2""",8.73,19.74,24.8,22.46
146,66,50,0.615,Clay,"4""",18.9,33.31,24.45,35.23
147,19,95,0.547,Sand,"2""",10.06,19.18,24.31,24.93
148,4,94,0.696,Sand,"2""",5.6,12.36,16.13,18.41
149,44,34,0.655,Sand,"4""",5.21,15.85,17.08,20.56
150,97,52,0.588,Sand,"4""",5.93,18.83,20.0,21.2
151,55,107,0.479,Sand,"4""",13.83,22.67,24.04,28.13
152,18,100,0.324,Sand,"2""",5.19,15.51,17.26,20.55
153,26,96,0.453,Sand,"2""",7.0,19.4,21.73,23.33
154,89,107,0.346,Sand,"2""",14.98,22.05,24.3,26.58
155,85,30,0.582,Sand,"2""",3.85,11.66,14.56,14.93
156,50,87,0.337,Sand,"4""",9.1,17.97,22.65,22.47
157,39,67,0.668,Sand,"4""",15.75,27.64,27.4,35.25
158,18,50,0.417,Sand,"2""",6.88,15.34,17.28,19.68
159,66,101,0.575,Clay,"4""",17.28,33.95,24.89,35.61
160,86,16,0.331,Sand,"2""",5.62,12.11,18.3,15.85
161,74,0,0.495,Clay,"4""",9.19,13.5,15.32,18.35
162,8,9,0.321,Sand,"2""",13.41,25.69,26.52,20.48
163,83,61,0.396,Clay,"4""",12.67,19.25,20.06,21.96
164,99,29,0.487,Sand,"4""",4.51,14.91,18.31,20.25
165,17,86,0.64,Sand,"2""",5.55,13.93,17.94,17.07
166,18,83,0.57,Sand,"2""",10.5,14.91,17.63,20.13
167,33,9,0.448,Sand,"4""",8.19,16.19,20.5,18.7
168,93,68,0.346,Sand,"4""",14.23,27.5,22.32,33.33
169,89,54,0.696,Sand,"2""",7.79,17.55,21.73,22.48
170,55,52,0.615,Sand,"4""",6.61,19.16,20.27,21.72
171,76,55,0.595,Clay,"4""",16.15,17.97,22.95,24.33
172,1,80,0.596,Sand,"2""",9.48,14.31,16.43,20.28
173,55,98,0.51,Sand,"4""",7.02,19.31,21.31,25.41
174,33,85,0.407,Sand,"4""",3.86,11.27,14.49,15.03
175,98,104,0.36,Sand,"4""",15.92,25.43,25.7,28.07
176,9,59,0.601,Sand,"2""",10.4,21.57,24.58,23.67
177,26,9,0.624,Sand,"2""",8.88,19.06,23.17,19.99
178,10,18,0.301,Sand,"2""",5.25,12.39,16.69,15.89
179,48,2,0.352,Sand,"4""",7.23,13.08,16.96,17.63
180,74,72,0.668,Clay,"4""",13.01,17.54,17.9,23.07
181,52,50,0.658,Sand,"4""",6.08,18.57,18.75,17.87
182,40,63,0.496,Sand,"4""",7.36,19.5,21.23,24.26
183,18,53,0.309,Sand,"2""",10.07,19.16,22.81,20.63
184,72,59,0.639,Clay,"4""",8.64,19.52,19.1,24.16
185,22,21,0.46,Sand,"2""",8.84,14.76,20.18,18.67
186,50,31,0.523,Sand,"4""",6.34,15.91,17.01,19.69
187,68,81,0.551,Clay,"4""",20.45,28.76,24.63,36.03
188,100,74,0.462,Sand,"4""",10.84,18.05,18.66,23.6
189,0,25,0.645,Sand,"2""",5.2,13.43,16.87,17.21
190,25,79,0.434,Sand,"2""",15.77,18.75,21.23,24.16
191,42,84,0.57,Sand,"4""",11.17,19.96,21.66,25.46
192,11,4,0.657,Sand,"2""",6.0,13.37,18.28,17.45
193,31,21,0.666,Sand,"4""",4.97,13.24,15.84,16.57
194,25,57,0.321,Sand,"2""",7.42,19.94,22.29,23.28
195,83,95,0.33,Clay,"4""",13.17,20.83,23.57,28.07
196,96,80,0.316,Sand,"4""",15.14,21.95,21.86,29.1
197,47,13,0.318,Sand,"4""",5.2,12.89,16.2,16.35
198,9,30,0.622,Sand,"2""",8.79,17.04,21.45,18.91
199,99,69,0.567,Sand,"4""",11.97,24.66,21.85,31.87
200,0,11,0.678,Sand,"2""",4.72,11.29,15.36,15.19
201,90,51,0.654,Sand,"2""",6.59,16.07,19.35,19.31
202,16,53,0.524,Sand,"2""",8.03,15.66,20.03,17.9
203,20,18,0.349,Sand,"2""",5.42,12.4,16.48,16.89
204,9,91,0.492,Sand,"2""",8.95,17.06,22.59,19.17
205,99,22,0.607,Sand,"4""",7.18,17.03,19.86,21.98
206,80,40,0.346,Clay,"4""",10.59,20.94,22.72,29.65
207,63,66,0.588,Clay,"4""",15.26,28.63,22.52,28.87
208,79,31,0.382,Clay,"4""",10.12,14.08,15.41,18.64
209,12,68,0.656,Sand,"2""",11.14,21.61,20.49,26.46
210,25,5,0.376,Sand,"2""",5.74,14.31,17.88,17.58
211,13,75,0.634,Sand,"2""",12.29,14.78,17.99,19.14
212,22,57,0.343,Sand,"2""",7.69,17.69,20.65,21.22
213,48,86,0.562,Sand,"4""",10.18,19.59,24.88,24.53
214,18,48,0.315,Sand,"2""",8.23,17.02,19.64,22.62
215,51,96,0.565,Sand,"4""",7.4,18.88,20.02,23.73
