synth_idx,src_idx,soil,pipe,S_pct,T_pct,M_pct,B_pct,noise_sigma
60,33,Sand,"4""",3.5,12.1,13.6,16.1,0.02
61,84,Clay,"4""",16.7,21.9,23.6,25.8,0.02
62,91,Sand,"2""",6.0,14.7,19.2,17.6,0.02
63,18,Sand,"2""",3.5,10.1,13.2,14.2,0.02
64,21,Sand,"2""",8.7,14.9,20.5,18.9,0.02
65,76,Clay,"4""",21.7,16.8,23.8,23.2,0.02
66,28,Sand,"2""",6.0,13.8,19.1,19.9,0.02
67,75,Clay,"4""",23.2,17.0,18.5,23.2,0.02
68,47,Sand,"4""",3.5,11.6,13.0,15.4,0.02
69,56,Sand,"4""",7.5,18.8,20.6,24.1,0.02
70,94,Sand,"4""",10.4,21.2,24.9,29.2,0.02
71,103,Clay,"4""",25.5,29.5,29.4,31.6,0.02
72,79,Clay,"4""",21.5,16.8,18.5,23.9,0.02
73,40,Sand,"4""",6.2,19.9,23.2,29.3,0.02
74,18,Sand,"2""",3.5,10.1,13.2,14.2,0.02
75,3,Sand,"2""",7.0,9.5,14.6,13.0,0.02
76,1,Sand,"2""",3.1,8.5,12.8,13.5,0.02
77,53,Sand,"4""",13.0,23.2,27.1,23.5,0.02
78,40,Sand,"4""",6.2,19.9,23.2,29.3,0.02
79,21,Sand,"2""",8.7,14.9,20.5,18.9,0.02
80,3,Sand,"2""",7.0,9.5,14.6,13.0,0.02
81,13,Sand,"2""",6.0,13.5,17.7,16.8,0.02
82,35,Sand,"4""",4.2,13.1,14.4,16.3,0.02
83,107,Clay,"4""",19.2,25.4,26.2,30.1,0.02
84,99,Sand,"4""",6.0,18.6,19.9,24.3,0.02
85,38,Sand,"4""",14.8,27.3,30.3,26.7,0.02
86,92,Sand,"2""",6.0,14.5,19.2,17.6,0.02
87,74,Clay,"4""",15.0,18.0,18.2,23.6,0.02
88,95,Sand,"4""",9.9,20.6,23.6,28.1,0.02
89,22,Sand,"2""",9.0,14.6,19.8,18.4,0.02
90,86,Sand,"2""",9.9,18.8,27.8,22.0,0.02
91,1,Sand,"2""",3.1,8.5,12.8,13.5,0.02
92,42,Sand,"4""",7.0,18.5,20.2,25.2,0.02
93,105,Clay,"4""",22.1,27.1,27.4,30.3,0.02
94,102,Clay,"4""",21.5,30.1,30.4,29.3,0.02
95,78,Clay,"4""",22.3,16.8,18.5,25.7,0.02
96,102,Clay,"4""",21.5,30.1,30.4,29.3,0.02
97,76,Clay,"4""",21.7,16.8,23.8,23.2,0.02
98,78,Clay,"4""",22.3,16.8,18.5,25.7,0.02
99,88,Sand,"2""",7.0,16.2,21.5,20.4,0.02
100,54,Sand,"4""",9.6,21.8,24.1,28.4,0.02
101,34,Sand,"4""",4.1,12.9,14.0,16.3,0.02
102,104,Clay,"4""",21.5,29.1,28.4,29.9,0.02
103,47,Sand,"4""",3.5,11.6,13.0,15.4,0.02
104,87,Sand,"2""",9.0,17.4,23.9,21.9,0.02
105,40,Sand,"4""",6.2,19.9,23.2,29.3,0.02
106,82,Clay,"4""",22.6,21.1,23.2,28.9,0.02
107,94,Sand,"4""",10.4,21.2,24.9,29.2,0.02
108,67,Clay,"4""",21.5,38.8,26.6,42.4,0.02
109,34,Sand,"4""",4.1,12.9,14.0,16.3,0.02
110,29,Sand,"2""",3.1,11.4,16.8,16.4,0.02
111,36,Sand,"4""",3.5,12.8,13.9,16.1,0.02
112,52,Sand,"4""",4.4,18.3,18.0,14.9,0.02
113,81,Clay,"4""",21.5,21.6,22.7,28.2,0.02
114,95,Sand,"4""",9.9,20.6,23.6,28.1,0.02
115,66,Clay,"4""",24.9,42.2,27.1,42.5,0.02
116,72,Clay,"4""",9.0,16.6,17.3,22.0,0.02
117,57,Sand,"4""",7.0,19.3,21.1,22.7,0.02
118,84,Clay,"4""",16.7,21.9,23.6,25.8,0.02
119,15,Sand,"2""",6.0,13.3,17.2,15.8,0.02
120,39,Sand,"4""",12.9,22.1,27.8,31.7,0.02
121,41,Sand,"4""",7.0,18.9,21.3,26.7,0.02
122,40,Sand,"4""",6.2,19.9,23.2,29.3,0.02
123,97,Sand,"4""",7.0,19.2,21.4,25.6,0.02
124,55,Sand,"4""",8.0,19.7,21.7,26.0,0.02
125,10,Sand,"2""",9.3,17.7,24.8,19.8,0.02
126,50,Sand,"4""",9.3,19.1,20.2,23.6,0.02
127,87,Sand,"2""",9.0,17.4,23.9,21.9,0.02
128,50,Sand,"4""",9.3,19.1,20.2,23.6,0.02
129,73,Clay,"4""",8.5,19.0,19.9,25.0,0.02
130,37,Sand,"4""",14.8,12.9,14.2,16.3,0.02
131,12,Sand,"2""",6.7,14.8,17.5,18.1,0.02
132,102,Clay,"4""",21.5,30.1,30.4,29.3,0.02
133,86,Sand,"2""",9.9,18.8,27.8,22.0,0.02
134,4,Sand,"2""",3.5,8.5,12.3,13.7,0.02
135,54,Sand,"4""",9.6,21.8,24.1,28.4,0.02
136,15,Sand,"2""",6.0,13.3,17.2,15.8,0.02
137,44,Sand,"4""",5.8,17.4,18.7,22.8,0.02
138,2,Sand,"2""",5.5,9.2,13.9,12.8,0.02
139,67,Clay,"4""",21.5,38.8,26.6,42.4,0.02
140,33,Sand,"4""",3.5,12.1,13.6,16.1,0.02
141,32,Sand,"4""",5.5,12.7,13.4,16.6,0.02
142,73,Clay,"4""",8.5,19.0,19.9,25.0,0.02
143,8,Sand,"2""",16.4,38.8,27.4,19.8,0.02
144,77,Clay,"4""",22.9,16.8,19.4,23.5,0.02
145,25,Sand,"2""",8.3,21.3,24.8,24.5,0.02
146,66,Clay,"4""",24.9,42.2,27.1,42.5,0.02
147,19,Sand,"2""",10.2,18.0,24.9,22.3,0.02
148,4,Sand,"2""",3.5,8.5,12.3,13.7,0.02
149,44,Sand,"4""",5.8,17.4,18.7,22.8,0.02
150,97,Sand,"4""",7.0,19.2,21.4,25.6,0.02
151,55,Sand,"4""",8.0,19.7,21.7,26.0,0.02
152,18,Sand,"2""",3.5,10.1,13.2,14.2,0.02
153,26,Sand,"2""",7.0,18.8,21.4,19.5,0.02
154,89,Sand,"2""",7.0,15.7,20.7,19.9,0.02
155,85,Sand,"2""",4.1,10.7,15.1,14.3,0.02
156,50,Sand,"4""",9.3,19.1,20.2,23.6,0.02
157,39,Sand,"4""",12.9,22.1,27.8,31.7,0.02
158,18,Sand,"2""",3.5,10.1,13.2,14.2,0.02
159,66,Clay,"4""",24.9,42.2,27.1,42.5,0.02
160,86,Sand,"2""",9.9,18.8,27.8,22.0,0.02
161,74,Clay,"4""",15.0,18.0,18.2,23.6,0.02
162,8,Sand,"2""",16.4,38.8,27.4,19.8,0.02
163,83,Clay,"4""",19.8,21.3,23.5,28.0,0.02
164,99,Sand,"4""",6.0,18.6,19.9,24.3,0.02
165,17,Sand,"2""",3.1,11.2,12.4,14.3,0.02
166,18,Sand,"2""",3.5,10.1,13.2,14.2,0.02
167,33,Sand,"4""",3.5,12.1,13.6,16.1,0.02
168,93,Sand,"4""",4.1,14.1,15.0,16.2,0.02
169,89,Sand,"2""",7.0,15.7,20.7,19.9,0.02
170,55,Sand,"4""",8.0,19.7,21.7,26.0,0.02
171,76,Clay,"4""",21.7,16.8,23.8,23.2,0.02
172,1,Sand,"2""",3.1,8.5,12.8,13.5,0.02
173,55,Sand,"4""",8.0,19.7,21.7,26.0,0.02
174,33,Sand,"4""",3.5,12.1,13.6,16.1,0.02
175,98,Sand,"4""",6.0,18.9,20.9,24.8,0.02
176,9,Sand,"2""",12.0,19.5,26.1,20.8,0.02
177,26,Sand,"2""",7.0,18.8,21.4,19.5,0.02
178,10,Sand,"2""",9.3,17.7,24.8,19.8,0.02
179,48,Sand,"4""",10.4,20.2,22.6,26.5,0.02
180,74,Clay,"4""",15.0,18.0,18.2,23.6,0.02
181,52,Sand,"4""",4.4,18.3,18.0,14.9,0.02
182,40,Sand,"4""",6.2,19.9,23.2,29.3,0.02
183,18,Sand,"2""",3.5,10.1,13.2,14.2,0.02
184,72,Clay,"4""",9.0,16.6,17.3,22.0,0.02
185,22,Sand,"2""",9.0,14.6,19.8,18.4,0.02
186,50,Sand,"4""",9.3,19.1,20.2,23.6,0.02
187,68,Clay,"4""",19.6,34.6,26.2,42.4,0.02
188,100,Sand,"4""",6.0,18.1,19.2,23.6,0.02
189,0,Sand,"2""",3.5,9.1,12.5,13.2,0.02
190,25,Sand,"2""",8.3,21.3,24.8,24.5,0.02
191,42,Sand,"4""",7.0,18.5,20.2,25.2,0.02
192,11,Sand,"2""",7.3,15.9,21.4,19.4,0.02
193,31,Sand,"4""",3.1,12.4,13.5,15.4,0.02
194,25,Sand,"2""",8.3,21.3,24.8,24.5,0.02
195,83,Clay,"4""",19.8,21.3,23.5,28.0,0.02
196,96,Sand,"4""",7.0,19.9,22.0,26.5,0.02
197,47,Sand,"4""",3.5,11.6,13.0,15.4,0.02
198,9,Sand,"2""",12.0,19.5,26.1,20.8,0.02
199,99,Sand,"4""",6.0,18.6,19.9,24.3,0.02
200,0,Sand,"2""",3.5,9.1,12.5,13.2,0.02
201,90,Sand,"2""",6.0,15.0,19.8,18.1,0.02
202,16,Sand,"2""",3.5,8.8,13.6,12.8,0.02
203,20,Sand,"2""",9.0,16.7,22.6,21.9,0.02
204,9,Sand,"2""",12.0,19.5,26.1,20.8,0.02
205,99,Sand,"4""",6.0,18.6,19.9,24.3,0.02
206,80,Clay,"4""",18.9,22.9,21.8,30.3,0.02
207,63,Clay,"4""",8.5,19.1,19.3,19.3,0.02
208,79,Clay,"4""",21.5,16.8,18.5,23.9,0.02
209,12,Sand,"2""",6.7,14.8,17.5,18.1,0.02
210,25,Sand,"2""",8.3,21.3,24.8,24.5,0.02
211,13,Sand,"2""",6.0,13.5,17.7,16.8,0.02
212,22,Sand,"2""",9.0,14.6,19.8,18.4,0.02
213,48,Sand,"4""",10.4,20.2,22.6,26.5,0.02
214,18,Sand,"2""",3.5,10.1,13.2,14.2,0.02
215,51,Sand,"4""",7.7,18.1,18.5,21.6,0.02
