synth_idx,src_idx,soil,pipe,S_pct,T_pct,M_pct,B_pct,noise_sigma
193,93,Sand,"2""",4.1,10.7,15.1,14.3,0.02
194,73,Clay,"4""",21.5,38.8,26.6,42.4,0.02
195,29,Sand,"2""",7.5,15.5,20.4,18.1,0.02
196,54,Sand,"4""",9.3,19.1,20.2,23.6,0.02
197,85,Clay,"4""",20.2,16.6,18.4,23.2,0.02
198,13,Sand,"2""",6.0,13.3,17.2,15.8,0.02
199,68,Clay,"4""",15.2,17.6,18.5,19.4,0.02
200,30,Sand,"2""",7.0,14.4,19.3,18.4,0.02
201,13,Sand,"2""",6.0,13.3,17.2,15.8,0.02
202,51,Sand,"4""",13.7,20.7,24.1,27.4,0.02
203,28,Sand,"2""",7.0,18.8,21.4,19.5,0.02
204,13,Sand,"2""",6.0,13.3,17.2,15.8,0.02
205,81,Clay,"4""",22.9,16.8,19.4,23.5,0.02
206,76,Clay,"4""",9.0,16.6,17.3,22.0,0.02
207,91,Clay,"4""",18.1,21.5,22.4,28.2,0.02
208,71,Clay,"4""",8.5,18.7,19.1,20.2,0.02
209,16,Sand,"2""",3.5,10.1,13.2,14.2,0.02
210,79,Clay,"4""",23.2,17.0,18.5,23.2,0.02
211,76,Clay,"4""",9.0,16.6,17.3,22.0,0.02
212,41,Sand,"4""",7.0,18.9,21.3,26.7,0.02
213,35,Sand,"4""",3.5,12.1,13.6,16.1,0.02
214,98,Sand,"2""",6.0,14.5,19.2,17.6,0.02
215,19,Sand,"2""",10.2,18.0,24.9,22.3,0.02
