synth_idx,src_a,src_b,lambda,soil,pipe,S_pct,T_pct,M_pct,B_pct
107,71,98,0.514,Clay,"4""",15.75,20.12,22.12,24.78
108,50,105,0.639,Sand,"4""",16.68,24.26,27.35,29.75
109,76,24,0.561,Clay,"4""",14.02,27.02,24.18,34.09
110,29,25,0.622,Sand,"2""",4.76,12.95,18.16,17.04
111,84,4,0.513,Clay,"4""",12.17,12.66,15.48,18.57
112,60,15,0.553,Sand,"4""",5.71,14.53,16.91,19.4
113,49,59,0.415,Sand,"4""",10.28,21.9,25.69,27.95
114,54,59,0.594,Sand,"4""",8.77,19.34,20.81,24.57
115,61,40,0.381,Sand,"4""",6.5,19.67,22.4,26.79
116,4,33,0.578,Sand,"2""",3.75,10.36,13.02,14.8
117,15,89,0.644,Sand,"2""",8.69,14.16,16.47,19.18
118,26,49,0.353,Sand,"2""",11.38,22.39,27.38,26.25
119,12,87,0.546,Sand,"2""",12.93,17.25,19.68,21.42
120,47,104,0.338,Sand,"4""",15.42,23.85,24.52,24.6
121,72,34,0.59,Clay,"4""",16.42,30.28,21.9,31.77
122,70,21,0.334,Clay,"4""",8.83,15.97,19.57,19.0
123,50,102,0.674,Sand,"4""",9.84,20.26,23.92,27.04
124,92,68,0.355,Sand,"2""",9.0,18.99,22.32,20.26
125,61,31,0.684,Sand,"4""",5.77,17.12,18.69,20.39
126,8,67,0.62,Sand,"2""",13.59,31.02,24.32,19.65
127,82,55,0.537,Clay,"4""",15.96,17.73,19.06,24.5
128,62,97,0.613,Sand,"4""",6.0,16.46,18.83,20.54
129,68,27,0.618,Clay,"4""",7.93,17.3,19.3,18.96
130,61,107,0.678,Sand,"4""",10.92,21.26,22.74,25.08
131,59,101,0.401,Sand,"4""",6.8,19.04,20.62,24.98
132,9,19,0.536,Sand,"2""",7.63,15.5,19.82,19.12
133,60,17,0.338,Sand,"4""",13.26,33.13,30.16,24.0
134,85,57,0.546,Clay,"4""",13.03,17.37,18.22,19.44
135,32,4,0.369,Sand,"4""",4.79,10.42,13.22,14.95
136,65,32,0.526,Clay,"4""",11.31,15.75,16.75,18.31
137,3,46,0.529,Sand,"2""",5.16,8.89,13.28,12.53
138,37,104,0.486,Sand,"4""",18.24,28.74,30.35,28.04
139,47,107,0.509,Sand,"4""",11.21,18.38,19.48,22.62
140,106,16,0.606,Clay,"4""",14.83,21.72,22.84,24.18
141,23,96,0.62,Sand,"2""",7.43,21.21,28.12,22.5
142,29,9,0.497,Sand,"2""",4.91,13.11,17.15,17.26
143,44,80,0.54,Sand,"4""",13.91,17.0,18.28,22.44
144,107,91,0.672,Clay,"4""",14.25,20.59,22.56,24.93
145,92,96,0.348,Sand,"2""",7.36,16.13,22.19,19.13
146,3,24,0.347,Sand,"2""",7.85,17.21,21.26,20.51
147,25,96,0.335,Sand,"2""",6.5,14.97,19.6,17.77
148,88,12,0.563,Clay,"4""",15.26,17.69,20.93,23.35
149,6,56,0.467,Sand,"2""",6.06,14.36,16.26,17.77
150,92,50,0.61,Sand,"2""",10.6,19.78,27.18,24.61
151,30,34,0.568,Sand,"4""",3.8,13.04,14.06,16.02
152,99,2,0.433,Sand,"4""",7.41,14.14,18.1,19.43
153,31,83,0.659,Sand,"4""",9.37,13.9,15.2,18.3
154,46,36,0.605,Sand,"4""",7.72,10.06,12.75,13.7
155,71,71,0.408,Clay,"4""",20.8,19.1,19.5,20.6
156,13,44,0.446,Sand,"2""",6.0,15.35,17.7,19.13
157,60,40,0.426,Sand,"4""",6.75,19.13,21.79,26.87
158,54,95,0.363,Sand,"4""",7.2,16.49,19.95,20.1
159,84,10,0.359,Clay,"4""",11.81,14.93,17.73,19.68
160,107,79,0.674,Clay,"4""",20.18,22.67,23.66,27.82
161,71,80,0.475,Clay,"4""",22.06,18.0,18.98,21.96
162,44,41,0.453,Sand,"4""",6.55,18.04,19.85,24.48
163,43,28,0.592,Sand,"4""",5.88,15.93,18.86,21.62
164,45,0,0.521,Sand,"4""",3.5,10.82,12.97,13.98
165,87,101,0.674,Clay,"4""",16.45,20.89,21.11,26.59
166,34,102,0.612,Sand,"4""",4.9,15.04,16.26,19.13
167,18,26,0.492,Sand,"2""",8.83,17.8,22.51,20.17
168,36,3,0.451,Sand,"4""",10.51,11.03,14.42,14.49
169,2,13,0.695,Sand,"2""",5.65,10.45,14.91,13.72
170,11,7,0.587,Sand,"2""",4.97,11.77,16.21,15.11
171,9,89,0.68,Sand,"2""",10.34,16.94,19.07,21.33
172,83,96,0.347,Clay,"4""",11.38,15.43,18.96,19.79
173,78,16,0.64,Clay,"4""",7.1,15.91,17.89,21.55
174,75,80,0.555,Clay,"4""",21.31,25.66,21.77,33.52
175,49,19,0.349,Sand,"4""",10.37,19.33,25.57,23.93
176,77,39,0.535,Clay,"4""",9.6,18.6,21.16,26.04
177,17,64,0.574,Sand,"2""",13.14,31.22,27.78,21.52
178,97,77,0.305,Sand,"2""",8.09,15.96,17.88,20.66
179,54,94,0.482,Sand,"4""",8.11,17.34,20.46,21.68
180,101,4,0.63,Sand,"4""",5.08,14.86,17.09,20.38
181,16,21,0.418,Sand,"2""",7.16,12.84,17.5,17.15
182,53,30,0.483,Sand,"4""",6.74,16.19,17.28,20.15
183,75,33,0.477,Clay,"4""",11.59,22.3,18.96,28.46
184,53,107,0.421,Sand,"4""",15.41,22.96,24.01,27.87
185,48,83,0.667,Sand,"4""",10.22,15.13,15.76,18.76
186,17,34,0.613,Sand,"2""",11.55,30.07,27.26,21.14
187,41,104,0.344,Sand,"4""",16.51,26.24,27.27,28.4
188,25,53,0.699,Sand,"2""",8.31,16.73,20.58,20.12
189,32,54,0.652,Sand,"4""",7.8,15.58,16.68,19.36
190,73,46,0.414,Clay,"4""",10.71,20.86,17.92,24.57
191,68,15,0.635,Clay,"4""",6.67,15.81,17.07,17.44
192,65,100,0.343,Clay,"4""",9.81,18.65,20.41,23.48
193,39,1,0.7,Sand,"4""",8.14,17.18,21.76,25.53
194,103,18,0.566,Clay,"4""",8.39,20.72,23.2,24.57
195,9,24,0.56,Sand,"2""",7.4,17.66,20.71,20.92
196,36,30,0.336,Sand,"4""",7.3,12.97,13.93,15.97
197,12,14,0.659,Sand,"2""",5.02,11.76,16.5,15.04
198,36,1,0.312,Sand,"4""",6.75,9.87,13.24,14.37
199,103,73,0.396,Clay,"4""",15.75,32.46,24.74,36.02
200,39,104,0.357,Sand,"4""",17.5,26.81,28.69,29.8
201,98,13,0.611,Sand,"4""",8.69,18.12,21.9,23.98
202,53,32,0.379,Sand,"4""",8.21,15.94,17.15,20.02
203,75,54,0.664,Clay,"4""",16.27,28.07,22.99,35.69
204,49,100,0.563,Sand,"4""",10.66,22.46,26.97,28.47
205,28,74,0.314,Sand,"2""",15.32,28.06,23.97,35.32
206,82,82,0.302,Clay,"4""",22.3,16.8,18.5,25.7
207,104,62,0.321,Clay,"4""",10.97,21.68,22.38,24.61
208,28,45,0.542,Sand,"2""",4.86,13.16,16.49,17.52
209,84,21,0.621,Clay,"4""",16.07,15.84,18.99,21.38
210,28,93,0.395,Sand,"2""",7.81,15.98,22.0,21.11
211,77,86,0.64,Clay,"4""",12.57,18.87,18.92,24.99
212,85,2,0.323,Clay,"4""",10.25,11.59,15.35,16.16
213,48,77,0.62,Sand,"4""",6.27,15.17,15.5,18.4
214,79,9,0.671,Clay,"4""",17.1,16.28,18.1,21.46
215,29,79,0.609,Sand,"2""",10.57,13.59,17.43,19.02
