synth_idx,src_idx,soil,pipe,S_pct,T_pct,M_pct,B_pct,noise_sigma
137,89,Sand,"2""",9.9,18.8,27.8,22.0,0.02
138,74,Clay,"4""",7.0,19.5,18.7,22.3,0.02
139,53,Sand,"4""",8.6,18.8,19.7,23.1,0.02
140,18,Sand,"2""",9.0,16.7,22.6,21.9,0.02
141,13,Sand,"2""",6.0,13.3,17.2,15.8,0.02
142,101,Sand,"4""",6.0,18.1,19.2,23.6,0.02
143,54,Sand,"4""",7.7,18.1,18.5,21.6,0.02
144,87,Clay,"4""",18.1,21.5,22.4,28.2,0.02
145,99,Sand,"4""",7.0,19.2,21.4,25.6,0.02
146,8,Sand,"2""",12.0,19.5,26.1,20.8,0.02
147,95,Sand,"4""",4.1,14.1,15.0,16.2,0.02
148,30,Sand,"2""",3.1,11.4,16.8,16.4,0.02
149,72,Clay,"4""",19.8,32.6,24.4,41.8,0.02
150,49,Sand,"4""",13.5,25.0,31.3,30.7,0.02
151,71,Clay,"4""",19.6,34.6,26.2,42.4,0.02
152,52,Sand,"4""",10.2,19.6,21.0,24.8,0.02
153,89,Sand,"2""",9.9,18.8,27.8,22.0,0.02
154,101,Sand,"4""",6.0,18.1,19.2,23.6,0.02
155,74,Clay,"4""",7.0,19.5,18.7,22.3,0.02
156,44,Sand,"4""",6.0,17.9,19.4,23.9,0.02
157,67,Clay,"4""",8.5,19.1,19.3,19.3,0.02
158,17,Sand,"2""",10.2,18.0,24.9,22.3,0.02
159,43,Sand,"4""",7.0,18.9,21.3,26.7,0.02
160,80,Clay,"4""",22.9,16.8,19.4,23.5,0.02
161,43,Sand,"4""",7.0,18.9,21.3,26.7,0.02
162,107,Clay,"4""",19.2,25.4,26.2,30.1,0.02
163,52,Sand,"4""",10.2,19.6,21.0,24.8,0.02
164,95,Sand,"4""",4.1,14.1,15.0,16.2,0.02
165,95,Sand,"4""",4.1,14.1,15.0,16.2,0.02
166,25,Sand,"2""",8.3,21.3,24.8,24.5,0.02
167,69,Clay,"4""",8.5,18.7,19.1,20.2,0.02
168,102,Clay,"4""",7.0,22.8,21.9,26.3,0.02
169,89,Sand,"2""",9.9,18.8,27.8,22.0,0.02
170,52,Sand,"4""",10.2,19.6,21.0,24.8,0.02
171,54,Sand,"4""",7.7,18.1,18.5,21.6,0.02
172,85,Clay,"4""",21.5,21.6,22.7,28.2,0.02
173,57,Sand,"4""",8.0,19.7,21.7,26.0,0.02
174,58,Sand,"4""",7.5,18.8,20.6,24.1,0.02
175,75,Clay,"4""",9.0,16.6,17.3,22.0,0.02
176,106,Clay,"4""",21.5,25.8,26.6,31.6,0.02
177,75,Clay,"4""",9.0,16.6,17.3,22.0,0.02
178,54,Sand,"4""",7.7,18.1,18.5,21.6,0.02
179,23,Sand,"2""",6.0,11.7,15.5,15.8,0.02
180,31,Sand,"4""",3.5,13.0,13.8,15.8,0.02
181,100,Sand,"4""",6.0,18.9,20.9,24.8,0.02
182,90,Sand,"2""",9.0,17.4,23.9,21.9,0.02
183,24,Sand,"2""",8.3,25.2,33.6,25.5,0.02
184,38,Sand,"4""",3.5,12.8,13.9,16.1,0.02
185,71,Clay,"4""",19.6,34.6,26.2,42.4,0.02
186,68,Clay,"4""",8.5,19.7,19.5,20.1,0.02
187,39,Sand,"4""",14.8,27.3,30.3,26.7,0.02
188,76,Clay,"4""",8.5,19.0,19.9,25.0,0.02
189,30,Sand,"2""",3.1,11.4,16.8,16.4,0.02
190,96,Sand,"4""",10.4,21.2,24.9,29.2,0.02
191,107,Clay,"4""",19.2,25.4,26.2,30.1,0.02
192,29,Sand,"2""",7.0,14.4,19.3,18.4,0.02
193,73,Clay,"4""",18.5,31.5,23.7,41.6,0.02
194,59,Sand,"4""",7.5,18.1,19.9,23.6,0.02
195,30,Sand,"2""",3.1,11.4,16.8,16.4,0.02
196,68,Clay,"4""",8.5,19.7,19.5,20.1,0.02
197,78,Clay,"4""",22.2,17.0,18.4,23.1,0.02
198,54,Sand,"4""",7.7,18.1,18.5,21.6,0.02
199,81,Clay,"4""",21.5,16.8,18.5,23.9,0.02
200,102,Clay,"4""",7.0,22.8,21.9,26.3,0.02
201,39,Sand,"4""",14.8,27.3,30.3,26.7,0.02
202,39,Sand,"4""",14.8,27.3,30.3,26.7,0.02
203,100,Sand,"4""",6.0,18.9,20.9,24.8,0.02
204,85,Clay,"4""",21.5,21.6,22.7,28.2,0.02
205,104,Clay,"4""",21.5,29.1,28.4,29.9,0.02
206,82,Clay,"4""",20.4,16.6,18.5,23.2,0.02
207,28,Sand,"2""",7.5,17.6,20.2,18.1,0.02
208,61,Sand,"4""",3.1,16.4,15.8,19.0,0.02
209,78,Clay,"4""",22.2,17.0,18.4,23.1,0.02
210,39,Sand,"4""",14.8,27.3,30.3,26.7,0.02
211,21,Sand,"2""",8.7,14.9,20.5,18.9,0.02
212,79,Clay,"4""",21.7,16.8,23.8,23.2,0.02
213,23,Sand,"2""",6.0,11.7,15.5,15.8,0.02
214,104,Clay,"4""",21.5,29.1,28.4,29.9,0.02
215,83,Clay,"4""",20.2,16.6,18.4,23.2,0.02
